"year","max_registrations"
1911,3432509
1930,3816543
1966,3507960
1995,1934435
1945,2089659
1950,3652146
2008,3487353
1890,2111167
1963,2302526
2012,286671
1922,3887752
1914,3639329
2008,351022
1898,216944
1992,2077428
1990,221533
2012,3691990
1888,2302413
1901,3378795
1905,3475590
2015,2436125
1956,345814
1916,3507960
1931,3677381
1908,2223273
1893,3444733
1964,2192114
1976,2334522
1934,192696
1957,450278
1978,3452317
1997,3818813
1953,3639329
1906,3683732
1942,3017381
1963,3646511
1959,2212383
1966,3716879
1930,3927263
1963,450278
1914,3778497
1973,3040372
1967,345814
1944,3488188
1977,3625071
1901,2262672
2015,3476028
1901,3840338
1953,3887752
1927,1416344
1993,2319310
1997,4122249
1883,3778497
1984,2260871
1967,351022
1880,3561975
1964,3816543
1890,3507960
1991,2111167
1907,4035165
1940,3327503
1972,488651
1904,2192114
1926,3927263
1997,2731530
2010,325224
1929,465395
2005,3800447
1886,3843751
2002,3840338
2003,3017381
1891,4035165
1968,4122249
1995,2334522
2002,3769439
1896,3692840
1975,1137114
1959,243461
2010,3639329
1958,2260871
1898,2652659
1972,3854131
2009,2302413
1949,2689859
2017,2652659
2016,286671
1926,488651
1924,255318
1952,346957
1920,334376
1941,2731530
2002,288946
1881,3378795
2008,465395
1998,2203297
1956,4013766
1883,2381670
1933,301401
2015,2006769
1930,2334522
1915,2333326
2006,3951244
1892,2104141
1900,3887752
1890,201484
1958,3691990
1922,3769439
1916,2381670
1959,4156341
1908,2381670
1940,4131574
2008,2822224
1967,3378795
1888,3652146
1993,2260871
1881,3958659
1923,3556252
1924,3459424
2009,3556252
1888,3951244
1989,338690
1947,3843751
1913,255318
1922,3176923
1917,2130462
2001,3800447
2011,3736498
1944,3661471
1980,3994837
2006,2104141
2013,3736498
1985,3691821
1994,3034948
1989,3034948
1925,2295948
1953,216944
1997,465395
1954,2295948
1921,3174395
2009,3602059
1956,2689859
1881,3716879
1901,2333326
1985,3994837
2009,4035165
1982,3843751
1886,2203297
1947,2302413
1971,3602059
2014,590717
1969,644279
1968,201484
1881,3840338
1887,3653166
1916,4156341
1931,1137114
1984,3017381
1926,2295948
1919,3840338
1939,3507960
1970,3927263
1936,3691990
1945,3818813
1909,338690
1929,4035165
2017,247393
1968,4154165
2008,3979895
1909,3927263
1960,3994837
1989,3432509
1992,288946
1980,2652659
1888,3994837
1936,590717
1897,2334522
1996,3378795
1890,357485
1885,3378795
1910,3639329
1997,345814
1931,3378795
2016,3842547
1943,3698914
2015,3778497
1934,221533
1963,3953577
2017,3653166
1897,2212383
1934,3040372
1954,3698914
1915,216944
1993,2223273
1906,1832457
1993,428459
1912,2262672
1903,2089659
2004,3378795
1988,3778497
2002,386735
1979,3741868
1956,2171126
1907,2334522
1954,3017381
1992,2223273
1937,2212383
1998,988066
1953,3854131
1890,3979895
1949,2104141
1986,4154165
1890,243461
1887,450278
1968,3683732
1973,3327503
1895,3561975
1949,3652146
1932,988066
1928,590717
1954,3843751
1949,221533
1883,4140301
1923,3484564
1895,3195073
1966,590717
1959,644279
2005,2223273
1968,301401
2002,3568419
1903,3979895
1977,3444733
1931,286671
1901,3653166
1889,216944
1959,339233
1907,3677381
1892,4154165
1933,3818813
1907,403489
1955,2110273
1957,3503502
1980,3607253
1998,301401
2013,3661471
1941,3040372
1984,3994837
2008,3327503
1924,4140301
1886,4013766
1903,4013766
1919,2110273
1897,3661471
1991,3484564
1918,3741868
2000,381203
1966,2192114
1975,2262672
1952,3604738
1921,2302526
1903,301401
2016,2077428
1946,3894531
1933,2731530
1941,345814
1932,351022
1997,988066
1895,3843751
1948,3818813
1923,988066
1966,192696
1966,3475590
1929,3894531
1900,2006769
2003,221533
1943,3487353
1880,386735
1918,3818813
2004,216944
1941,3475590
1997,2436125
1939,3017381
1959,2334522
1894,3887752
1933,386735
2013,403489
1964,1416344
1972,3503502
1883,3691990
1965,240854
1948,3979895
1918,255318
1982,3818813
1896,3677381
1923,4156341
1882,299473
1918,381203
1978,4122249
1987,1934435
2004,4140301
2000,3854131
2011,334376
1920,2260871
1994,325224
1936,2006769
1904,1999219
1999,2111167
1889,3927263
1899,2212383
1930,4035165
2008,423930
2008,2262672
1909,2077428
2007,4013766
1883,2076590
1942,3698914
2016,450278
1964,338690
1951,3958659
1910,2334522
1998,325224
2004,4122249
1892,3019889
1892,423930
1935,381458
1962,3652146
1909,2171126
1962,2077428
1955,3607253
1885,3927263
1895,3818813
1974,386735
2008,3507960
1926,3661471
1900,3736498
1922,2077428
2011,3174395
1957,2223273
2015,3951244
1987,3951244
1893,3698914
1923,3716879
1967,325224
1959,3800447
1958,428459
1945,4131574
1887,3979895
1889,3607253
2016,3653166
1928,2689859
1979,345814
1886,3653166
1963,3800447
1904,590717
1982,351022
1951,3639329
1940,428459
1996,299473
2003,2319310
1905,3444733
1976,2110273
1985,3769439
1915,644279
1895,2436125
1927,3840338
1956,3818813
1903,2689859
1919,3854131
1910,3657797
1881,3692840
1999,1934435
1911,2260871
1929,2104141
2007,286671
1999,644279
2018,2212383
1954,2262672
1994,2822224
